prediction_field,dimension,group,rows,exposure,exposure_share,claims,major_cohort,baseline_calibration_ratio,candidate_calibration_ratio,baseline_abs_log_calibration_error,candidate_abs_log_calibration_error,abs_log_calibration_error_change,baseline_poisson_deviance,candidate_poisson_deviance,relative_deviance_change,calibration_guardrail_pass,deviance_guardrail_pass,cohort_gate_pass
reference_frequency,seen_before_2024,seen,105307,95848.1616438356,0.7606129833904779,30991.0,True,0.9465609693450437,0.9623556490954667,0.05491989482886067,0.038371199033316414,-0.016548695795544258,1.0901263890173563,1.0895957176356892,-0.0004867980327908361,True,True,True
reference_frequency,seen_before_2024,unseen,62778,30166.202739726028,0.239387016609522,8285.0,True,1.0249093883998712,1.0007121146177531,0.02460420712162196,0.0007118611844472741,-0.023892345937174684,1.2088039778268853,1.2086288564976195,-0.00014487156931808354,True,True,True
reference_frequency,driver_age_band,25-34,15972,11700.002739726027,0.0928465798082641,4292.0,True,0.9620308115029116,0.9679675546769504,0.03870880024002969,0.03255671016300966,-0.006152090077020035,1.263507800750896,1.263401374226624,-8.423099897669761e-05,True,True,True
reference_frequency,driver_age_band,35-49,70488,52941.55890410959,0.42012320708904616,17226.0,True,0.9997389552992614,1.0071520657677124,0.00026107877883724744,0.007126611042523281,0.006865532263686033,1.1497336430720309,1.1496466086842374,-7.569960948594634e-05,True,True,True
reference_frequency,driver_age_band,50-64,57437,43447.59178082192,0.34478285069610354,12956.0,True,0.9325805611479397,0.9405236794802957,0.06979973854385058,0.06131845301382697,-0.008481285530023606,1.0817368032326644,1.0810313308764998,-0.0006521663625166374,True,True,True
reference_frequency,driver_age_band,65+,23892,17738.83561643836,0.14076836163252798,4699.0,True,0.9204899782749576,0.9275125794032779,0.08284916563067465,0.0752489218935675,-0.00760024373710716,1.0160233144197797,1.0149033829862453,-0.001102269423978619,True,True,True
reference_frequency,driver_age_band,<25,296,186.37534246575342,0.0014790007740583086,103.0,False,0.6583460074065904,0.6576617395620894,0.41802463874349094,0.4190645534518085,0.0010399147083175464,1.491455326071516,1.49265537454703,0.0008046157699370671,True,True,True
reference_frequency,policy_type,CC,96426,71738.19726027397,0.5692858715845898,15314.0,True,1.0917716652778993,1.099998447948763,0.08780175772787344,0.09530876884765946,0.007507011119786022,0.8921496377140244,0.893046235133882,0.0010049854665132862,True,True,True
reference_frequency,policy_type,COMP_E,45250,34222.70136986302,0.27157778033697966,14220.0,True,0.9341332131212938,0.9403513800375016,0.06813622445528746,0.061501665016563824,-0.006634559438723632,1.3832425220218012,1.381441445840202,-0.0013020682584039545,True,True,True
reference_frequency,policy_type,COMP_N,6867,6032.690410958903,0.047873037653045986,7040.0,True,0.7128790715333831,0.7209842951883476,0.3384434780949399,0.32713792392006713,-0.011305554174872778,2.9098261771548435,2.898120394812831,-0.004022845912211248,True,True,True
reference_frequency,policy_type,TP,3008,2133.5534246575344,0.016931033498398956,313.0,False,0.775538706070385,0.775512795081999,0.254197386495156,0.2542307973630339,3.341086787789216e-05,0.7672537711944396,0.7668063081567418,-0.0005832008319766047,True,True,True
reference_frequency,policy_type,TPG,16534,11887.22191780822,0.09433227692698569,2389.0,True,1.0724434627959791,1.079793215453508,0.06993965508878812,0.07676955563127133,0.006829900542483211,0.8766620535615849,0.877734031111765,0.0012227945145166785,True,True,True
reference_frequency,payment_frequency,A,139993,104828.35890410958,0.8318762659868978,31646.0,True,0.9343606299386111,0.9409823803801091,0.06789280185126342,0.06083086392901143,-0.007061937922251994,1.0952200077764724,1.0946355502396286,-0.0005336439552728889,True,True,True
reference_frequency,payment_frequency,Q,5733,4076.178082191781,0.03234693205121234,1837.0,True,1.1821425710913984,1.1952077901703468,0.16732853023071922,0.17832005325531747,0.010991523024598243,1.4587685524143215,1.4601254716140566,0.0009301812802924303,True,True,True
reference_frequency,payment_frequency,S,22359,17109.827397260276,0.13577680196188988,5793.0,True,1.050556341400483,1.0601309633478049,0.04931987280188013,0.05839245082038039,0.009072578018500255,1.180334511334559,1.1803105519019053,-2.029884954102279e-05,True,True,True
challenger_frequency,seen_before_2024,seen,105307,95848.1616438356,0.7606129833904779,30991.0,True,0.9397182677116453,0.9601370137190709,0.06217516384204184,0.04067928208012768,-0.021495881761914158,1.0901437085705168,1.0893150004691632,-0.0007601824372680532,True,True,True
challenger_frequency,seen_before_2024,unseen,62778,30166.202739726028,0.239387016609522,8285.0,True,1.0362692826442501,1.004816093188652,0.03562703539484237,0.0048045329138997695,-0.0308225024809426,1.2099980264717587,1.209639116377644,-0.00029662039628375325,True,True,True
challenger_frequency,driver_age_band,25-34,15972,11700.002739726027,0.0928465798082641,4292.0,True,0.9574719485137878,0.9652595745739211,0.04345885494783384,0.03535822461848542,-0.008100630329348414,1.2609553043612456,1.260767502331024,-0.00014893631009116337,True,True,True
challenger_frequency,driver_age_band,35-49,70488,52941.55890410959,0.42012320708904616,17226.0,True,0.9695258464170277,0.9788201753791411,0.030948145122012216,0.021407335264853722,-0.009540809857158494,1.1501128410583084,1.149690692228453,-0.0003670499230900015,True,True,True
challenger_frequency,driver_age_band,50-64,57437,43447.59178082192,0.34478285069610354,12956.0,True,0.9388332860205862,0.9491335892315685,0.06311735971073633,0.05220572185811199,-0.010911637852624341,1.0842928145105786,1.0832848435936102,-0.0009296113591081845,True,True,True
challenger_frequency,driver_age_band,65+,23892,17738.83561643836,0.14076836163252798,4699.0,True,0.9871014249262045,0.9967281752246137,0.012982484011363371,0.003277188897574369,-0.009705295113789002,1.0131411410388094,1.01188168625501,-0.0012431187845239888,True,True,True
challenger_frequency,driver_age_band,<25,296,186.37534246575342,0.0014790007740583086,103.0,False,0.9307219276443759,0.9306467147445654,0.07179472768939979,0.07187554230950094,8.081462010114948e-05,1.4246155202066704,1.4268935522126158,0.0015990503919365295,True,True,True
challenger_frequency,policy_type,CC,96426,71738.19726027397,0.5692858715845898,15314.0,True,1.085194288649719,1.0956462467801105,0.08175903884160911,0.09134436888877573,0.00958533004716662,0.8918897655686389,0.8928931220466858,0.0011249781270976644,True,True,True
challenger_frequency,policy_type,COMP_E,45250,34222.70136986302,0.27157778033697966,14220.0,True,0.9422920883990104,0.9507511004294062,0.05943997985793647,0.0505029747414573,-0.008937005116479171,1.3769247488526732,1.3747879556604732,-0.001551859093229746,True,True,True
challenger_frequency,policy_type,COMP_N,6867,6032.690410958903,0.047873037653045986,7040.0,True,0.6871208502051616,0.6970971477721112,0.37524509217896523,0.3608304980601812,-0.014414594118784041,2.949584380982013,2.9327959023420287,-0.005691811615301079,True,True,True
challenger_frequency,policy_type,TP,3008,2133.5534246575344,0.016931033498398956,313.0,False,0.8124710661637073,0.8121226930582109,0.2076749762877639,0.208103850409505,0.0004288741217410852,0.7755746976031644,0.7748556810576175,-0.0009270758158679282,True,True,True
challenger_frequency,policy_type,TPG,16534,11887.22191780822,0.09433227692698569,2389.0,True,1.0877382916659328,1.0968363037656148,0.08410057875096155,0.09242994843154557,0.008329369680584023,0.8779181846099885,0.8790710613760434,0.0013131938559480805,True,True,True
challenger_frequency,payment_frequency,A,139993,104828.35890410958,0.8318762659868978,31646.0,True,0.9421570990842039,0.9507819852660139,0.05958324645905684,0.05047049059817031,-0.009112755860886529,1.0951183088145187,1.0942888611703399,-0.000757404599578515,True,True,True
challenger_frequency,payment_frequency,Q,5733,4076.178082191781,0.03234693205121234,1837.0,True,1.081047807003677,1.0970493724435044,0.07793076247444475,0.09262418706564586,0.014693424591201112,1.4616195651657091,1.462390933343247,0.0005277489409156733,True,True,True
challenger_frequency,payment_frequency,S,22359,17109.827397260276,0.13577680196188988,5793.0,True,1.0196636392671747,1.0317246886464209,0.019472807487267246,0.031231856901284504,0.011759049414017259,1.182480626521773,1.1821035507458986,-0.00031888537318680577,True,True,True
