dimension,group,rows,exposure,exposure_share,frequency_mean_log_ratio,frequency_mean_abs_log_disagreement,frequency_challenger_above_reference_share,pure_premium_mean_log_ratio,pure_premium_mean_abs_log_disagreement,pure_premium_challenger_above_reference_share
business_type,P,8486,7756.5616438356155,0.5176467168050674,-0.015033322214548369,0.09979647220901185,0.41443302974591556,-0.1572920061614456,0.33698492740991604,0.3390299684403307
business_type,NB,11514,7227.71506849315,0.48235328319493254,0.011745273976178722,0.098693428971161,0.5139990053507882,0.02855624524900295,0.29571224298213916,0.5818144463700612
driver_age_band,35-49,8387,6282.901369863013,0.4192996092159434,-0.027807485188903577,0.08856792759830617,0.3626973664989432,0.0048574761957187506,0.27284983200773316,0.5264547092151389
driver_age_band,50-64,6880,5212.791780821917,0.34788411085153914,0.007706990913448417,0.09331131069116325,0.5384010566209888,-0.1130184021483543,0.3146014749572356,0.39884236301742454
driver_age_band,65+,2818,2088.720547945206,0.13939415215327997,0.05814588197323559,0.12747515110520902,0.6364360170675367,-0.2872132369126688,0.45518220217313793,0.27865652828040494
driver_age_band,25-34,1877,1379.5260273972601,0.09206490602660944,-0.019530687287022192,0.12308078110991535,0.35920020177666734,0.09344943046225034,0.31151679710174274,0.6142252550508712
driver_age_band,<25,38,20.336986301369862,0.0013572217526280057,0.4088090534183153,0.4167961071375918,0.9532534015896538,0.7850663783225039,0.808068722857629,0.9232116394988548
payment_frequency,A,16594,12411.065753424657,0.8282725947801722,0.00274880122455711,0.09525811188632172,0.4708981534154563,-0.03561056733132123,0.3116361953445469,0.4969067595223794
payment_frequency,S,2720,2080.6383561643834,0.13885477398134774,-0.01762624569126665,0.10642697520804635,0.42729905073916985,-0.23401056951707835,0.3372581924127782,0.24352773714073528
payment_frequency,Q,686,492.57260273972605,0.03287263123847994,-0.059193520886164246,0.16995410398463162,0.39833916424252874,-0.17214168625195483,0.36891729948988133,0.32697773501159694
policy_type,CC,11468,8488.131506849315,0.5664692176877278,-0.008220720496361529,0.08742182644801401,0.428469986133741,-0.13446769759644656,0.31916511920917906,0.3772913541163681
policy_type,COMP_E,5363,4097.306849315069,0.2734404154418668,0.008458987242821679,0.11289609584152528,0.516245552541362,0.10749897479801557,0.29787402004490593,0.6577056629914604
policy_type,TPG,1964,1411.2958904109587,0.09418511934244864,0.016444111417673875,0.09584066091497366,0.533655068789396,-0.14395100289641055,0.3291765118385768,0.3662309778441266
policy_type,COMP_N,825,720.8602739726027,0.04810777909483566,-0.03898389065406535,0.13793059896227372,0.4058620977979127,-0.042745379628987966,0.3184632042372782,0.4749880280030709
policy_type,TP,380,266.6821917808219,0.017797468433121036,0.031117656169972616,0.18036204625670513,0.49411849310142913,-0.2953126247232265,0.4778665509810425,0.29366440994873594
