target,band_id,band_label,low,high,rows,exposure,exposure_share
frequency,LT_MINUS_20,< -20%,,-0.2,5601,4353.684931506849,0.034549116307527716
frequency,MINUS_20_TO_MINUS_10,"[-20%, -10%)",-0.2,-0.1,22979,17891.40273972603,0.14197907379247895
frequency,MINUS_10_TO_MINUS_5,"[-10%, -5%)",-0.1,-0.05,26361,20184.4,0.16017539031155897
frequency,WITHIN_5,"[-5%, +5%]",-0.05,0.05,58811,44151.687671232874,0.350370276334881
frequency,PLUS_5_TO_PLUS_10,"(+5%, +10%]",0.05,0.1,20805,15297.408219178084,0.12139416243545013
frequency,PLUS_10_TO_PLUS_20,"(+10%, +20%]",0.1,0.2,20334,14653.942465753425,0.11628787350900614
frequency,GT_PLUS_20,> +20%,0.2,,13194,9481.838356164382,0.07524410730909716
pure_premium,LT_MINUS_20,< -20%,,-0.2,48174,38205.27123287671,0.3031818746995205
pure_premium,MINUS_20_TO_MINUS_10,"[-20%, -10%)",-0.2,-0.1,18300,14172.336986301369,0.11246604349932447
pure_premium,MINUS_10_TO_MINUS_5,"[-10%, -5%)",-0.1,-0.05,9610,7305.4219178082185,0.05797292993973311
pure_premium,WITHIN_5,"[-5%, +5%]",-0.05,0.05,18426,13807.873972602738,0.10957380962200808
pure_premium,PLUS_5_TO_PLUS_10,"(+5%, +10%]",0.05,0.1,8476,6282.139726027397,0.049852568449306814
pure_premium,PLUS_10_TO_PLUS_20,"(+10%, +20%]",0.1,0.2,15292,11146.150684931506,0.08845142964023475
pure_premium,GT_PLUS_20,> +20%,0.2,,49807,35095.169863013696,0.2785013441498722
