dimension,group,rows,exposure,exposure_share,frequency_segment_total_relativity_change,frequency_mean_absolute_change,frequency_challenger_higher_exposure_share,frequency_abs_change_gt_10pct_exposure_share,frequency_abs_change_gt_20pct_exposure_share,pure_premium_segment_total_relativity_change,pure_premium_mean_absolute_change,pure_premium_challenger_higher_exposure_share,pure_premium_abs_change_gt_10pct_exposure_share,pure_premium_abs_change_gt_20pct_exposure_share
business_type,P,71694,65300.90410958904,0.5182020671137666,-0.009148783127355342,0.10132552278963938,0.4310329463226715,0.36701386164700983,0.10322972725209284,-0.06530695889848193,0.3120375832433452,0.35370124309676215,0.7815150349299742,0.5810711886764034
business_type,NB,96391,60713.460273972596,0.48179793288623346,0.010386598597443397,0.10234274695127765,0.5284674974243486,0.3691855381937151,0.11685265071548984,0.08665482206107122,0.3343797486683588,0.5958131736985228,0.7837683801290166,0.5823414933647673
driver_age_band,35-49,70488,52941.55890410959,0.42012320708904616,-0.02718768685880224,0.08806320717616178,0.38073556321007157,0.31688697420764145,0.07864888391536823,0.05200070873203311,0.3035081157602894,0.5481743141015302,0.7607770553304345,0.5488617611903827
driver_age_band,50-64,57437,43447.59178082192,0.34478285069610354,0.00985356472738208,0.09425398203971029,0.5600536145862649,0.3564723640278059,0.09258586521906947,-0.054899987621166324,0.3041225846008493,0.4095228318217552,0.7852548663415682,0.5783971127929849
driver_age_band,65+,23892,17738.83561643836,0.14076836163252798,0.0757193917803316,0.1419307839206621,0.63687212099449,0.46900531686918634,0.21580063864209398,-0.15390425561077126,0.37883403028992485,0.28287041434512156,0.8432174587913678,0.6894817114372535
driver_age_band,25-34,15972,11700.002739726027,0.0928465798082641,-0.0016257755707475008,0.12556699262845458,0.36473519149158373,0.48172169963196354,0.14425216151453893,0.18348971146431348,0.37141104452990603,0.6209278489807168,0.7768798087156519,0.5735856284777827
driver_age_band,<25,296,186.37534246575342,0.0014790007740583086,0.4181495193877862,0.461957787570011,0.9520778514413395,0.8625545739191791,0.7151866170785129,1.3889393546676976,1.7733910587695105,0.9349816984432652,0.9528128537198465,0.9192526496832141
payment_frequency,A,139993,104828.35890410958,0.8318762659868978,0.011498113732697934,0.09930346180569861,0.48585793904823044,0.3542651365045499,0.10049803264833361,0.05652315790316309,0.32607236578595467,0.5104029023203515,0.780606398179767,0.5808485213049245
payment_frequency,S,22359,17109.827397260276,0.13577680196188988,-0.026370177692180863,0.10186544950325276,0.44894106359126773,0.3911959913448763,0.11271164036625908,-0.17331402086784586,0.2989938467441984,0.25598842738299715,0.7866183449485971,0.5778494358845601
payment_frequency,Q,5733,4076.178082191781,0.03234693205121234,-0.08265792051125131,0.16621240335953227,0.3971703281007928,0.6257184241214406,0.33659048060733765,-0.13140748799924273,0.338631865774237,0.3400916114679007,0.8170244084406222,0.619241768914609
policy_type,CC,96426,71738.19726027397,0.5692858715845898,-0.0029154984537078654,0.08956037620576468,0.4450843367217831,0.3157520408492952,0.07345338884823285,-0.09270034023806839,0.3053843348403441,0.39063314772948,0.7725919842019165,0.5657650829450557
policy_type,COMP_E,45250,34222.70136986302,0.27157778033697966,0.011889316667981875,0.11611824799480433,0.533730474188166,0.4354586069040449,0.15424985065588923,0.1367636031692696,0.352239554763995,0.6787604574901254,0.8001763789572985,0.6096121728379287
policy_type,TPG,16534,11887.22191780822,0.09433227692698569,0.0174341032829739,0.10019047432552,0.543615614879198,0.3685564515459907,0.10416641698372558,-0.10603985407792893,0.3181488702026692,0.38224053640192895,0.7798589299065464,0.5743780129048436
policy_type,COMP_N,6867,6032.690410958903,0.047873037653045986,-0.033117843790467894,0.13646687495547263,0.4070266475077341,0.5089825662191204,0.2193178535940256,0.001989692677303534,0.33915850200392117,0.48576023237774835,0.7816108762668422,0.5893560745745101
policy_type,TP,3008,2133.5534246575344,0.016931033498398956,0.05089835562350831,0.19554311323425333,0.5245426306618195,0.6445443770569901,0.3402478597028303,-0.24463402185466132,0.4159411556109392,0.25513164095656227,0.8552880460534679,0.6879307400221124
