feature,quantile,value,glm_frequency_relativity,xgb_frequency_relativity,log_xgb_over_glm_relativity
driver_age,0.05,30.0,0.8796810286266358,1.0130138438545593,0.14112579605403006
driver_age,0.1,32.0,0.8930488167849453,1.0148880593207819,0.127892353575496
driver_age,0.2,36.0,0.9203968978457889,0.999435408227316,0.08238554005331328
driver_age,0.3,39.0,0.9414561707365412,0.9989778785409982,0.0593048403771465
driver_age,0.4,43.0,0.9702866435938099,1.0,0.03016374227925389
driver_age,0.5,47.0,1.0,1.0,0.0
driver_age,0.6,51.0,1.030623276742361,1.0,-0.030163742279253627
driver_age,0.7,55.0,1.0621843385631615,0.9980292050276691,-0.06230022410257131
driver_age,0.8,59.0,1.0947119035143833,0.8994698889279773,-0.1964409283337278
driver_age,0.9,64.0,1.1367756805682248,0.8946749470664639,-0.23949071899794838
driver_age,0.95,68.0,1.1715874768282517,0.8955651976658229,-0.26865990121735667
vehicle_age,0.05,7.0,1.30915813004366,1.3384124928875694,0.02209992303848774
vehicle_age,0.1,10.0,1.2446753451532508,1.053099929598991,-0.16713660041267692
vehicle_age,0.2,14.0,1.163611648713539,1.0321499338828721,-0.11988471723805386
vehicle_age,0.3,17.0,1.1062977781290382,1.0099567041481807,-0.09111164292223448
vehicle_age,0.4,20.0,1.0518069110483343,1.0023518717066353,-0.048160442453238375
vehicle_age,0.5,23.0,1.0,1.0,0.0
vehicle_age,0.6,27.0,0.9348716139068931,1.0067882394394643,0.07411137353297918
vehicle_age,0.7,32.0,0.8593932529857155,1.0014104661156185,0.1529381308574721
vehicle_age,0.8,36.0,0.8034223573994507,0.9570829187472841,0.17500948214230452
vehicle_age,0.9,41.0,0.7385567632773699,0.915249247106144,0.21449846743749118
vehicle_age,0.95,44.0,0.7021790363986598,0.9177218082534805,0.26770589446186105
age_driving_licence,0.05,18.0,1.0183930213945438,1.0,-0.01822591571847646
age_driving_licence,0.1,18.0,1.0183930213945438,1.0,-0.01822591571847646
age_driving_licence,0.2,19.0,1.012224729037526,1.0,-0.012150610478984176
age_driving_licence,0.3,19.0,1.012224729037526,1.0,-0.012150610478984176
age_driving_licence,0.4,20.0,1.0060937973357784,1.0,-0.006075305239492273
age_driving_licence,0.5,21.0,1.0,1.0,0.0
age_driving_licence,0.6,22.0,0.9939431121114998,1.0,0.006075305239492078
age_driving_licence,0.7,24.0,0.9819391718048529,1.0741755765104664,0.08977937750392842
age_driving_licence,0.8,26.0,0.9700802041642766,1.0453121411900133,0.07469206671572196
age_driving_licence,0.9,31.0,0.9410556025114049,1.0518132976981511,0.11126867728916447
age_driving_licence,0.95,37.0,0.9073700816282093,1.0762521057756642,0.1706896171757457
vehicle_value,0.05,12739.125,0.9559411903804603,0.9431265511598137,-0.013495920597747844
vehicle_value,0.1,14610.75,0.9627088875138331,0.9478145707026977,-0.015592186005440465
vehicle_value,0.2,17388.0,0.9728396745162332,0.9899298044495618,0.017414741801530804
vehicle_value,0.3,19732.3854,0.981474402192221,1.0153548136777266,0.03393746743310981
vehicle_value,0.4,22272.252975,0.9909156339745807,1.0031490369933052,0.012269969652322204
vehicle_value,0.5,24693.375,1.0,1.0,0.0
vehicle_value,0.6,27265.35,1.009741630961089,0.9981553454101044,-0.01154084525872854
vehicle_value,0.7,30429.0,1.021854548898196,1.004427492481544,-0.017201441621345036
vehicle_value,0.8,34497.9369,1.0376474810443777,1.0274450024438389,-0.009880973070921254
vehicle_value,0.9,41658.75,1.0660361151417688,1.0379637126615733,-0.026686379057224683
vehicle_value,0.95,49666.33455,1.0987025807454882,1.0748340922022601,-0.021963694796202256
seats,0.05,4.0,0.9924729878465982,1.0669035310501715,0.07231603991198374
seats,0.1,5.0,1.0,1.0,0.0
seats,0.2,5.0,1.0,1.0,0.0
seats,0.3,5.0,1.0,1.0,0.0
seats,0.4,5.0,1.0,1.0,0.0
seats,0.5,5.0,1.0,1.0,0.0
seats,0.6,5.0,1.0,1.0,0.0
seats,0.7,5.0,1.0,1.0,0.0
seats,0.8,5.0,1.0,1.0,0.0
seats,0.9,5.0,1.0,1.0,0.0
seats,0.95,7.0,1.0152257140373386,1.0,-0.015110966133257825
power_to_weight_ratio,0.05,8.68,0.9771271700690117,1.0258087415494679,0.04861978919925348
power_to_weight_ratio,0.1,9.43,0.9822480485974914,1.023719283768619,0.04135375930157575
power_to_weight_ratio,0.2,10.36,0.9886352251434117,1.0042493585010301,0.015670202876276764
power_to_weight_ratio,0.3,10.98,0.9929164002730534,1.0042493585010301,0.011349163004273443
power_to_weight_ratio,0.4,11.51,0.9965908091501435,1.0010532896643016,0.004467750726661364
power_to_weight_ratio,0.5,12.0,1.0,1.0,0.0
power_to_weight_ratio,0.6,12.64,1.0044703907719366,1.0002143338243374,-0.00424611739684613
power_to_weight_ratio,0.7,13.33,1.0093124207288144,1.0209346911489425,0.01144924409527872
power_to_weight_ratio,0.8,14.3,1.0161588283364655,1.0235714095031159,0.0072682295543233955
power_to_weight_ratio,0.9,15.65,1.0257646965912068,1.0454809107321634,0.019038601322409022
power_to_weight_ratio,0.95,16.72,1.0334427025301411,1.0980612537697105,0.06065046982641897
