feature,point_type,point_key,value_or_level,v51_full_fit_log_gap,fold_mean_log_gap,fold_min_log_gap,fold_max_log_gap,fold_log_gap_range,fold_std_log_gap,fraction_folds_same_sign_as_v51_full_fit,v51_full_fit_gap_inside_fold_min_max
age_driving_licence,numeric,q0.05,18.0,-0.0182259157184764,-0.008957567735546549,-0.02207786578358778,0.016609642637718573,0.03868750842130635,0.013324847565518036,0.8,True
age_driving_licence,numeric,q0.10,18.0,-0.0182259157184764,-0.008957567735546549,-0.02207786578358778,0.016609642637718573,0.03868750842130635,0.013324847565518036,0.8,True
age_driving_licence,numeric,q0.20,19.0,-0.0121506104789841,-0.012701490716637278,-0.018326637818349988,-0.0036629497863769353,0.014663688031973054,0.005255648882644057,1.0,True
age_driving_licence,numeric,q0.30,19.0,-0.0121506104789841,-0.012701490716637278,-0.018326637818349988,-0.0036629497863769353,0.014663688031973054,0.005255648882644057,1.0,True
age_driving_licence,numeric,q0.40,20.0,-0.0060753052394922,-0.005569103879055953,-0.007477035080117659,-0.0035705114601314947,0.003906523619986164,0.0015273817313337004,1.0,True
age_driving_licence,numeric,q0.50,21.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
age_driving_licence,numeric,q0.60,22.0,0.006075305239492,0.0060976640908765554,0.0016385538293800918,0.012439882156625857,0.010801328327245766,0.00370182328894457,1.0,True
age_driving_licence,numeric,q0.70,24.0,0.0897793775039284,0.06808288815142467,0.04618976727403336,0.10109414438957522,0.05490437711554186,0.024872592277756345,1.0,True
age_driving_licence,numeric,q0.80,26.0,0.0746920667157219,0.06583592006184039,0.039969897870309065,0.1048782499965051,0.06490835212619603,0.02461727631684703,1.0,True
age_driving_licence,numeric,q0.90,31.0,0.1112686772891644,0.10072749494547253,0.03818584824756654,0.16021501678383449,0.12202916853626794,0.039899939660511176,1.0,True
age_driving_licence,numeric,q0.95,37.0,0.1706896171757457,0.14091090553470184,0.07670630234904677,0.2387682646924864,0.16206196234343964,0.05458754980797658,1.0,True
bonus_score,categorical,B,B,-0.0393270276967864,-0.05577223788416626,-0.1363818295989794,-0.005946544203293122,0.13043528539568627,0.0457339098137493,1.0,True
bonus_score,categorical,G,G,0.0,0.0,0.0,0.0,0.0,0.0,,True
bonus_score,categorical,N,N,-0.108858255838972,-0.14056449036228064,-0.21122219973716866,-0.09191516577782169,0.11930703395934697,0.04103927323091599,1.0,True
business_type,categorical,NB,NB,0.0,0.0,0.0,0.0,0.0,0.0,,True
business_type,categorical,P,P,-0.0257133896886285,-0.024636212198458657,-0.055778015018373886,0.0223858558973326,0.07816387091570648,0.028332538770020187,0.8,True
circulation_area,categorical,R,R,0.0227355809259511,0.025388972215126426,0.008113945261809497,0.038143869782969506,0.03002992452116001,0.010985816957759267,1.0,True
circulation_area,categorical,U,U,0.0,0.0,0.0,0.0,0.0,0.0,,True
driver_age,numeric,q0.05,30.0,0.14112579605403,0.13224041842289838,0.05379501352736559,0.21823008527752213,0.16443507175015654,0.056345383798168565,1.0,True
driver_age,numeric,q0.10,32.0,0.127892353575496,0.11973829144075059,0.05000428455026262,0.19544485013082225,0.14544056558055962,0.05018522022567699,1.0,True
driver_age,numeric,q0.20,36.0,0.0823855400533132,0.07929161251809494,0.023977862792690128,0.1397755745922848,0.11579771179959467,0.038271497816030904,1.0,True
driver_age,numeric,q0.30,39.0,0.0593048403771465,0.05556382414613933,0.017438445667410745,0.09761877384756042,0.08018032818014967,0.02633351952951841,1.0,True
driver_age,numeric,q0.40,43.0,0.0301637422792538,0.027571759429443354,0.008719222833705374,0.05139583954587267,0.0426766167121673,0.014295520915636914,1.0,True
driver_age,numeric,q0.50,47.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
driver_age,numeric,q0.60,51.0,-0.0301637422792536,-0.03155062600476698,-0.051395839545872714,-0.007106777529237982,0.04428906201663473,0.01721650079370497,1.0,True
driver_age,numeric,q0.70,55.0,-0.0623002241025713,-0.06397921128037203,-0.10434715716317351,-0.01582600036294331,0.0885211568002302,0.030507635648418494,1.0,True
driver_age,numeric,q0.80,59.0,-0.1964409283337278,-0.17816327738465076,-0.22658205381335464,-0.10692647650707858,0.11965557730627606,0.04104586129134967,1.0,True
driver_age,numeric,q0.90,64.0,-0.2394907189979483,-0.2154120701794072,-0.29221421676405224,-0.13162277970865696,0.16059143705539528,0.05916990282975846,1.0,True
driver_age,numeric,q0.95,68.0,-0.2686599012173566,-0.24672184920133855,-0.35617851231999964,-0.12204694730983254,0.2341315650101671,0.08219501461266172,1.0,True
fuel_type,categorical,D,D,0.0,0.0,0.0,0.0,0.0,0.0,,True
fuel_type,categorical,G,G,0.0150662885723012,0.003524448395163815,-0.046897211879152634,0.037474187200058545,0.08437139907921118,0.028911810223672077,0.6,True
municipality_type,categorical,C,C,0.018748429816367,0.009339938050265017,-0.008126896445520542,0.034702769335037444,0.04282966578055798,0.014453540830267361,0.8,True
municipality_type,categorical,I,I,0.0,0.0,0.0,0.0,0.0,0.0,,True
municipality_type,categorical,IS,IS,0.0641895089569835,0.05120168433972899,0.003919700021470849,0.08173104333061734,0.07781134330914649,0.025674321354801792,1.0,True
payment_frequency,categorical,A,A,0.0,0.0,0.0,0.0,0.0,0.0,,True
payment_frequency,categorical,Q,Q,-0.0091075279657528,-0.009328770569809217,-0.041470327260604525,0.015759354417665048,0.05722968167826957,0.020458858503876153,0.6,True
payment_frequency,categorical,S,S,-0.0025968866505779,9.309125100135141e-05,-0.03579685451981342,0.023250638668016015,0.05904749318782943,0.01960287231554082,0.4,True
policy_type,categorical,CC,CC,0.0,0.0,0.0,0.0,0.0,0.0,,True
policy_type,categorical,COMP_E,COMP_E,0.0086608713547397,-0.0013858768508695702,-0.02334167712327242,0.030291182548422377,0.0536328596716948,0.018444586648457044,0.4,True
policy_type,categorical,COMP_N,COMP_N,-0.0182847234689394,0.03575237514248751,-0.04378847842326628,0.07733787598868742,0.12112635441195371,0.04277090382834538,0.2,True
policy_type,categorical,TP,TP,-0.1485773197955667,-0.13803814275236648,-0.2649893272876455,-0.048918430259526254,0.21607089702811927,0.07656706791292472,1.0,True
policy_type,categorical,TPG,TPG,0.0298479786897049,0.029784817514246435,0.011848130634578583,0.05977453778736195,0.04792640715278337,0.018631451562265967,1.0,True
power_to_weight_ratio,numeric,q0.05,8.68,0.0486197891992534,0.037469572605094745,-0.015514503634532306,0.0717710909039843,0.0872855945385166,0.03272360663922231,0.8,True
power_to_weight_ratio,numeric,q0.10,9.43,0.0413537593015757,0.03777255235202742,0.0038550576130248378,0.08744939341616269,0.08359433580313785,0.02728664238699945,1.0,True
power_to_weight_ratio,numeric,q0.20,10.36,0.0156702028762767,0.009201108236150411,-0.0014261464339694017,0.031007992501503392,0.0324341389354728,0.011298796025941712,0.8,True
power_to_weight_ratio,numeric,q0.30,10.98,0.0113491630042734,0.008223289530935058,-0.0037960751435173784,0.022576094764560902,0.02637216990807828,0.008781012670094018,0.8,True
power_to_weight_ratio,numeric,q0.40,11.51,0.0044677507266613,1.2199648838249858e-05,-0.022359864101191906,0.00822904682785964,0.030588910929051548,0.011407706797590563,0.8,True
power_to_weight_ratio,numeric,q0.50,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
power_to_weight_ratio,numeric,q0.60,12.64,-0.0042461173968461,-0.01233921017269466,-0.031773270657705056,0.004446623977886974,0.03621989463559203,0.012908227412842683,0.8,True
power_to_weight_ratio,numeric,q0.70,13.33,0.0114492440952787,0.007652177702553253,-0.031461716994091796,0.10416018044028057,0.13562189743437236,0.05007603732645627,0.2,True
power_to_weight_ratio,numeric,q0.80,14.3,0.0072682295543233,0.011168111932275543,-0.02678374894389549,0.10550894581538409,0.13229269475927957,0.04782636327802631,0.2,True
power_to_weight_ratio,numeric,q0.90,15.65,0.019038601322409,0.030267891706022065,-0.009402216788781418,0.09984267497552747,0.10924489176430889,0.03799668876922682,0.8,True
power_to_weight_ratio,numeric,q0.95,16.72,0.0606504698264189,0.05348562624192284,0.002941740596549269,0.14568611707149048,0.1427443764749412,0.050006551282156794,1.0,True
seats,numeric,q0.05,4.0,0.0723160399119837,0.056121962523146274,0.021562454839028803,0.10041564798688547,0.07885319314785667,0.03615417802187306,1.0,True
seats,numeric,q0.10,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
seats,numeric,q0.20,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
seats,numeric,q0.30,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
seats,numeric,q0.40,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
seats,numeric,q0.50,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
seats,numeric,q0.60,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
seats,numeric,q0.70,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
seats,numeric,q0.80,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
seats,numeric,q0.90,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
seats,numeric,q0.95,7.0,-0.0151109661332578,-0.012597483788143262,-0.0212559239055253,-0.0031473197397867,0.0181086041657386,0.0072142846329322115,1.0,True
vehicle_age,numeric,q0.05,7.0,0.0220999230384877,0.03091354107612987,-0.1400784582174336,0.20214866838815213,0.34222712660558574,0.12685537029566837,0.6,True
vehicle_age,numeric,q0.10,10.0,-0.1671366004126769,-0.1384069182733006,-0.18856842377535601,-0.09639428623815552,0.0921741375372005,0.03459967963297562,1.0,True
vehicle_age,numeric,q0.20,14.0,-0.1198847172380538,-0.11618935425000235,-0.1608889898162808,-0.09185342155003336,0.06903556826624745,0.027734631518620937,1.0,True
vehicle_age,numeric,q0.30,17.0,-0.0911116429222344,-0.0848212335227632,-0.11906542408619548,-0.061150825359330696,0.05791459872686479,0.021871308093824832,1.0,True
vehicle_age,numeric,q0.40,20.0,-0.0481604424532383,-0.044687320257285126,-0.06497262406779426,-0.02791107890288661,0.03706154516490765,0.012545182324004166,1.0,True
vehicle_age,numeric,q0.50,23.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
vehicle_age,numeric,q0.60,27.0,0.0741113735329791,0.06762289299468681,0.047232576960279625,0.08798784052432032,0.040755263564040696,0.013336258234031641,1.0,True
vehicle_age,numeric,q0.70,32.0,0.1529381308574721,0.13483896427040737,0.09229141138277264,0.19649365465012056,0.10420224326734792,0.03456089107526226,1.0,True
vehicle_age,numeric,q0.80,36.0,0.1750094821423045,0.13849486688826795,0.10289407296142469,0.18612205593567305,0.08322798297424835,0.03295050420521161,1.0,True
vehicle_age,numeric,q0.90,41.0,0.2144984674374911,0.19622163305169366,0.13111107374330974,0.24757453704230667,0.11646346329899693,0.04645399909176112,1.0,True
vehicle_age,numeric,q0.95,44.0,0.267705894461861,0.2555649225867943,0.156785937322128,0.34626424742165646,0.18947831009952845,0.07342943840469905,1.0,True
vehicle_brand,categorical,AUDI,AUDI,-0.0774767640463329,-0.09029064129915901,-0.10923082624298333,-0.07040823130293954,0.038822594940043795,0.013614086226589248,1.0,True
vehicle_brand,categorical,BMW,BMW,-0.1231813633549763,-0.15278661975262492,-0.1715833535358298,-0.12917527377433213,0.04240807976149766,0.014292840248733495,1.0,False
vehicle_brand,categorical,CITROEN,CITROEN,0.0224856605975554,0.008860188009829984,-0.02334315732073061,0.055390857242674486,0.07873401456340509,0.0269509223770757,0.6,True
vehicle_brand,categorical,FORD,FORD,-0.0474808959299611,-0.0473800722151518,-0.0744638853190666,-0.012059658749383825,0.06240422656968277,0.0223497413933522,1.0,True
vehicle_brand,categorical,MERCEDES,MERCEDES,-0.0499528528500494,-0.04109798987200371,-0.0793729621498785,0.009683113609716548,0.08905607575959505,0.031541572898785154,0.8,True
vehicle_brand,categorical,OPEL,OPEL,-0.0047802723034745,-0.012509255793741014,-0.04854794062759976,0.0323333786398931,0.08088131926749287,0.027273343813263948,0.8,True
vehicle_brand,categorical,PEUGEOT,PEUGEOT,-0.0489338037858565,-0.04496351707783676,-0.07527649659686399,0.009906068316040273,0.08518256491290425,0.029877301934835256,0.8,True
vehicle_brand,categorical,RENAULT,RENAULT,0.0,0.0,0.0,0.0,0.0,0.0,,True
vehicle_brand,categorical,SEAT,SEAT,-0.0437725409777204,-0.03842971032400202,-0.067111594497444,0.003215644970376221,0.07032723946782023,0.027973066324195103,0.8,True
vehicle_brand,categorical,VOLKSWAGEN,VOLKSWAGEN,-0.0132097062671202,-0.016477151377714428,-0.042585678858888,0.03129636941387906,0.07388204827276706,0.025146364914558895,0.8,True
vehicle_value,numeric,q0.05,12739.125,-0.0134959205977478,-0.026299850419981292,-0.04549287195650815,-0.013494862124689743,0.03199800983181841,0.013973037728834185,1.0,True
vehicle_value,numeric,q0.10,14610.75,-0.0155921860054404,-0.0419379841069949,-0.06842858007002521,-0.008909272463681416,0.059519307606343795,0.023460857378190418,1.0,True
vehicle_value,numeric,q0.20,17388.0,0.0174147418015308,0.021384797982290805,-0.015051094421360238,0.048518056262212964,0.0635691506835732,0.02436882959329632,0.8,True
vehicle_value,numeric,q0.30,19732.3854,0.0339374674331098,0.03616473477849262,0.024522846643946872,0.0465906435201867,0.022067796876239828,0.007777801136571856,1.0,True
vehicle_value,numeric,q0.40,22272.252975,0.0122699696523222,0.012355942215960819,0.007111640162357968,0.014822221305263393,0.007710581142905425,0.002754762755190143,1.0,True
vehicle_value,numeric,q0.50,24693.375,0.0,0.0,0.0,0.0,0.0,0.0,,True
vehicle_value,numeric,q0.60,27265.35,-0.0115408452587285,-0.011150027443496769,-0.016148576786445584,-0.003378130786404256,0.012770446000041328,0.004565046746333243,1.0,True
vehicle_value,numeric,q0.70,30429.0,-0.017201441621345,-0.008342179308449042,-0.02128761906802688,-0.00034449647851994455,0.020943122589506934,0.008309100203897003,1.0,True
vehicle_value,numeric,q0.80,34497.9369,-0.0098809730709212,0.006128167649947966,-0.0046824816821613435,0.017894758850494158,0.0225772405326555,0.007296023344033191,0.2,False
vehicle_value,numeric,q0.90,41658.75,-0.0266863790572246,0.009011861103416906,-0.01523152440441083,0.04527575627377338,0.06050728067818421,0.025990116552705483,0.6,False
vehicle_value,numeric,q0.95,49666.33455,-0.0219636947962022,-0.00506967604408909,-0.05907259276468516,0.028178538382198016,0.08725113114688318,0.03386612582107728,0.4,True
