feature,context_id,context_change,context_changed_level_v51_marginal_exposure_share,q05_log_gap,q95_log_gap,max_absolute_log_gap,max_gap_quantile,max_gap_value,glm_direction_changes,xgb_direction_changes
driver_age,BASE,{},1.0,0.14112579605403006,-0.26865990121735667,0.26865990121735667,0.95,68.0,0,4
driver_age,BUSINESS_TYPE_P,"{""business_type"":""P""}",0.0322438248873501,0.14112584046682142,-0.2686598434297975,0.2686598434297975,0.95,68.0,0,4
driver_age,POLICY_TYPE_COMP_E,"{""policy_type"":""COMP_E""}",0.2375225200108693,0.13993484223094899,-0.18724502443127294,0.18724502443127294,0.95,68.0,0,4
driver_age,FUEL_TYPE_G,"{""fuel_type"":""G""}",0.36069678525926124,0.15571880020848894,-0.278505377728304,0.278505377728304,0.95,68.0,0,3
driver_age,CIRCULATION_AREA_R,"{""circulation_area"":""R""}",0.45981696634625785,0.14102082484097123,-0.24480291300221182,0.24480291300221182,0.95,68.0,0,4
vehicle_age,BASE,{},1.0,0.02209992303848774,0.26770589446186105,0.26770589446186105,0.95,44.0,0,3
vehicle_age,BUSINESS_TYPE_P,"{""business_type"":""P""}",0.0322438248873501,0.02210001113911877,0.2677059113698528,0.2677059113698528,0.95,44.0,0,3
vehicle_age,POLICY_TYPE_COMP_E,"{""policy_type"":""COMP_E""}",0.2375225200108693,-0.11969282550045172,0.3078039695719854,0.3078039695719854,0.95,44.0,0,3
vehicle_age,FUEL_TYPE_G,"{""fuel_type"":""G""}",0.36069678525926124,-0.017987195846126815,0.2638795848183454,0.2638795848183454,0.95,44.0,0,3
vehicle_age,CIRCULATION_AREA_R,"{""circulation_area"":""R""}",0.45981696634625785,-0.014088482321212388,0.31666173175999923,0.31666173175999923,0.95,44.0,0,4
